county_name,precincts_reporting,total_precincts,percent_reporting,registered_voters,voted_counted,turnout_percent,poll_locations,poll_locations_reporting,poll_locations_percent
MCMULLEN,4,4,100.0,644,,75.62,5,5,100.0
MEDINA,16,16,100.0,38525,,63.9,9,9,100.0
MENARD,7,7,100.0,1516,,68.6,3,3,100.0
MIDLAND,47,47,100.0,99004,,59.4,22,22,100.0
MILAM,12,12,100.0,17208,,64.49,12,12,100.0
MILLS,8,8,100.0,3626,,75.62,8,8,100.0
MITCHELL,5,5,100.0,4526,,55.52,5,5,100.0
MONTAGUE,16,16,100.0,15649,,70.94,11,11,100.0
MONTGOMERY,114,114,100.0,453832,,67.7,114,114,100.0
MOORE,8,8,100.0,10130,,52.93,9,9,100.0
MORRIS,9,9,100.0,8948,,60.73,9,9,100.0
MOTLEY,7,7,100.0,849,,76.56,7,7,100.0
NACOGDOCHES,20,20,100.0,40051,,63.63,20,20,100.0
NAVARRO,35,35,100.0,32955,,60.18,21,21,100.0
NEWTON,24,24,100.0,9486,,60.61,16,16,100.0
NOLAN,10,10,100.0,8494,,60.22,10,10,100.0
NUECES,130,130,100.0,218753,,55.62,66,66,100.0
OCHILTREE,5,5,100.0,5201,,57.87,5,5,100.0
OLDHAM,8,8,100.0,1340,,72.69,5,5,100.0
ORANGE,35,35,100.0,56232,,64.62,21,21,100.0
PALO PINTO,29,29,100.0,20351,,65.53,15,15,100.0
PANOLA,20,20,100.0,17836,,64.13,20,20,100.0
PARKER,46,46,100.0,127635,,71.17,37,37,100.0
PARMER,8,8,100.0,4549,,55.05,5,5,100.0
PECOS,10,10,100.0,8328,,50.83,10,10,100.0
POLK,23,23,100.0,44308,,54.83,13,13,100.0
POTTER,25,25,100.0,59681,,53.82,16,16,100.0
PRESIDIO,8,8,100.0,4429,,45.02,5,5,100.0
RAINS,9,9,100.0,9404,,69.72,9,9,100.0
RANDALL,32,32,100.0,100105,,66.83,17,17,100.0
REAGAN,5,5,100.0,1803,,52.63,5,5,100.0
REAL,6,6,100.0,2698,,72.57,6,6,100.0
RED RIVER,30,30,100.0,8746,,66.27,11,11,100.0
REEVES,10,10,100.0,7838,,43.88,7,7,100.0
REFUGIO,11,11,100.0,4938,,62.27,11,11,100.0
ROBERTS,6,6,100.0,722,,79.22,3,3,100.0
ROBERTSON,14,14,100.0,12600,,64.75,12,12,100.0
ROCKWALL,27,27,100.0,87932,,70.81,14,14,100.0
RUNNELS,10,10,100.0,6807,,59.59,8,8,100.0
RUSK,22,22,100.0,34277,,63.33,13,13,100.0
SABINE,9,9,100.0,8446,,66.08,9,9,100.0
SAN AUGUSTINE,12,12,100.0,6038,,62.06,12,12,100.0
SAN JACINTO,12,12,100.0,20406,,62.67,8,8,100.0
SAN PATRICIO,26,26,100.0,45265,,56.51,14,14,100.0
SAN SABA,7,7,100.0,3795,,71.38,5,5,100.0
SCHLEICHER,5,5,100.0,1732,,63.97,3,3,100.0
SCURRY,12,12,100.0,9366,,61.08,7,7,100.0
SHACKELFORD,8,8,100.0,2439,,70.85,5,5,100.0
SHELBY,15,15,100.0,16355,,60.83,15,15,100.0
SHERMAN,8,8,100.0,1448,,60.29,6,6,100.0
SMITH,76,76,100.0,162009,,64.12,39,39,100.0
SOMERVELL,5,5,100.0,7420,,71.35,2,2,100.0
STARR,14,14,100.0,36420,,45.09,14,14,100.0
STEPHENS,5,5,100.0,5881,,63.95,6,6,100.0
STERLING,4,4,100.0,892,,70.52,2,2,100.0
STONEWALL,5,5,100.0,955,,74.97,2,2,100.0
SUTTON,5,5,100.0,2348,,59.63,5,5,100.0
SWISHER,9,9,100.0,3900,,58.08,5,5,100.0
TARRANT,845,845,100.0,1309456,,62.87,350,350,100.0
TAYLOR,35,35,100.0,89791,,61.72,20,20,100.0
TERRELL,5,5,100.0,626,,64.7,2,2,100.0
TERRY,7,7,100.0,6412,,53.34,7,7,100.0
THROCKMORTON,6,6,100.0,1217,,73.95,5,5,100.0
TITUS,20,20,100.0,18026,,56.66,20,20,100.0
TOM GREEN,36,36,100.0,72586,,62.63,19,19,100.0
TRAVIS,288,288,100.0,926313,,62.75,178,178,100.0
TRINITY,21,21,100.0,12283,,60.03,21,21,100.0
TYLER,21,21,100.0,14888,,64.33,18,18,100.0
UPSHUR,20,20,100.0,30374,,65.47,16,16,100.0
UPTON,4,4,100.0,2114,,61.64,3,3,100.0
UVALDE,14,14,100.0,17929,,54.5,10,10,100.0
VAL VERDE,18,18,100.0,30117,,48.44,6,6,100.0
VAN ZANDT,18,18,100.0,41749,,66.95,19,19,100.0
VICTORIA,35,35,100.0,58087,,60.8,26,26,100.0
WALKER,17,17,100.0,38958,,64.62,10,10,100.0
WALLER,21,21,100.0,44330,,62.17,17,17,100.0
WARD,9,9,100.0,7047,,53.43,6,6,100.0
WASHINGTON,20,20,100.0,25794,,70.62,15,15,100.0
WEBB,79,79,100.0,148536,,44.34,50,50,100.0
WHARTON,13,13,100.0,26422,,62.27,8,8,100.0
WHEELER,5,5,100.0,3408,,66.73,5,5,100.0
WICHITA,41,41,100.0,79805,,55.8,21,21,100.0
WILBARGER,5,5,100.0,8126,,54.97,5,5,100.0
WILLACY,17,17,100.0,11703,,47.53,11,11,100.0
WILLIAMSON,164,164,100.0,445326,,69.27,83,83,100.0
WILSON,13,13,100.0,39092,,69.77,13,13,100.0
WINKLER,6,6,100.0,4086,,47.31,6,6,100.0
WISE,29,29,100.0,55864,,68.46,22,22,100.0
WOOD,15,15,100.0,35589,,68.52,12,12,100.0
YOAKUM,7,7,100.0,4289,,55.79,3,3,100.0
YOUNG,9,9,100.0,12394,,67.08,7,7,100.0
ZAPATA,8,8,100.0,8182,,59.53,8,8,100.0
ZAVALA,7,7,100.0,7810,,44.71,7,7,100.0
